phase,epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
head,1,0.9495649337768555,0.12018457055091858,0.97348552942276,0.07269398868083954,0.0010000000474974513
head,2,0.9707655906677246,0.07538159936666489,0.9834284782409668,0.046560242772102356,0.0010000000474974513
head,3,0.9724460244178772,0.06968545913696289,0.9847173690795898,0.04345202073454857,0.0010000000474974513
head,4,0.9724920392036438,0.06971339881420135,0.9841649532318115,0.043053414672613144,0.0010000000474974513
head,5,0.9747709631919861,0.06650781631469727,0.9850856065750122,0.042857371270656586,0.0010000000474974513
finetune,1,0.985175609588623,0.040418997406959534,0.9942920207977295,0.016300654038786888,9.999999747378752e-06
finetune,2,0.9925187826156616,0.019901597872376442,0.9966856837272644,0.010941457003355026,9.999999747378752e-06
finetune,3,0.9947055578231812,0.013861527666449547,0.9918983578681946,0.02017856203019619,9.999999747378752e-06
finetune,4,0.9963629841804504,0.009891808964312077,0.9968698024749756,0.011683449149131775,9.999999747378752e-06
finetune,5,0.9979512691497803,0.005502202548086643,0.9976063370704651,0.008440973237156868,4.999999873689376e-06
