phase,epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
head,1,0.9377330541610718,0.1593041568994522,0.9712759852409363,0.090598464012146,0.0010000000474974513
head,2,0.9601077437400818,0.10266837477684021,0.9773522615432739,0.06885666400194168,0.0010000000474974513
head,3,0.9627318978309631,0.09442391991615295,0.9801141619682312,0.06317790597677231,0.0010000000474974513
head,4,0.9650108218193054,0.09021076560020447,0.9729331731796265,0.07694490998983383,0.0010000000474974513
head,5,0.9640440344810486,0.09083530306816101,0.974958598613739,0.0696396753191948,0.0010000000474974513
finetune,1,0.9714101552963257,0.074863001704216,0.9854539036750793,0.043261151760816574,9.999999747378752e-06
finetune,2,0.9792827367782593,0.0541970320045948,0.9872951507568359,0.03631887212395668,9.999999747378752e-06
finetune,3,0.9828737378120422,0.04305296018719673,0.9896888136863708,0.029732896015048027,9.999999747378752e-06
finetune,4,0.9868560433387756,0.035273436456918716,0.9911618232727051,0.028120003640651703,9.999999747378752e-06
finetune,5,0.9880300164222717,0.03143825754523277,0.9928190112113953,0.021507177501916885,9.999999747378752e-06
