phase,epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
head,1,0.7831361293792725,0.8720948100090027,0.9003866910934448,0.3591502606868744,0.0010000000474974513
head,2,0.8755121827125549,0.4169560968875885,0.9090406894683838,0.3033721148967743,0.0010000000474974513
head,3,0.8917637467384338,0.3515174090862274,0.9175105690956116,0.26546576619148254,0.0010000000474974513
head,4,0.8993600606918335,0.31255248188972473,0.9296630620956421,0.21995779871940613,0.0010000000474974513
head,5,0.9019381999969482,0.3022441267967224,0.9191677570343018,0.25422972440719604,0.0010000000474974513
head,6,0.9085217118263245,0.2850761413574219,0.9213773012161255,0.23227326571941376,0.0010000000474974513
head,7,0.9160029292106628,0.24784690141677856,0.9386852979660034,0.18823327124118805,0.0005000000237487257
head,8,0.9187652468681335,0.23833434283733368,0.9315043091773987,0.20838463306427002,0.0005000000237487257
finetune,1,0.9326227903366089,0.20352327823638916,0.9519425630569458,0.1519736796617508,9.999999747378752e-06
finetune,2,0.9428203105926514,0.17079566419124603,0.9600442051887512,0.12912504374980927,9.999999747378752e-06
finetune,3,0.9485060572624207,0.1557992696762085,0.9605965614318848,0.12498098611831665,9.999999747378752e-06
finetune,4,0.9551815986633301,0.13025905191898346,0.9640949964523315,0.11466438323259354,9.999999747378752e-06
finetune,5,0.9591869711875916,0.12264551967382431,0.9626219868659973,0.11023429036140442,9.999999747378752e-06
finetune,6,0.9634454846382141,0.10894633829593658,0.9617013335227966,0.11185918003320694,9.999999747378752e-06
finetune,7,0.9652870297431946,0.1003677248954773,0.9631743431091309,0.10722526907920837,9.999999747378752e-06
